Spanish,English
ciega,blind
totalmente,completely
aproximado,approximate
escricta,strict
a pesar de,despite
seguro que,definitely
dentro de,within
de inmediato,immediately
duro,hard
sano,healthy
seda,silk
dsilusionado,disappointed
confundido,confused
aqui mismo,right here
exitoso,successfull
hay que,one must
anticuado,old
enseguida,right away
de abajo,below
sin querer,by accident
tendencia,treninding
correctamente,correctly
januca,hanukkah
personalmente,personally
ojala,hopfully / if only
innecesarios,unnecesasary
fijate que,you know
felizmente,happily
bastante,enough/ quite a bit
encantadora,charming
mayor,older
casera,homemade
por lo menos,at least
aunque,although
aun asi,even so
la verdad,honestly
envidioso,envious
ordenado,tidy
todo recto,straight
tanto,so much
inseguro,insecure
desagradable,unpleasant
nada mas,that's it / nothing more
a fin de cuentas,in the end
exquisita,delicious
preparados,prepared
jugosa,juicy
lastima,pity
fenomenal,phenomenal
maravilla,wonderful
introvertido,introverted
menor,younger
adecuado,appropriate / suitable
por nada,for anything
bastante,enough / quite a bit
todavia,still
comun,ordinary
por anticipado,in advance
amabilidad,kindness
cuanto antes,as soon as posible
rural,wiejski
congelado,frozen
britanico,British
marino,marine
asustada,frightened
carinosa,affectionate
evitable,avoidable
agotado,exhausted
acogedora,welcoming/ cosy
en cuento,as soon as
bajo cero,below zero
budista,buddhist
igual,still
por dia,per day
tonto,stupid / dummy / fool
tal vez,perhaps
seguranmente,certainly
mayores de,above / more than
discapacidad,disability
anterior,previous
todavia / aun / igual,still
en contacto,in touch
de aluminio,aluminium
a horario,a tiempo
aliviado,relieved
puede ser,is that alright ?
herramienta,tool
conforme,satisfy
sensata,sensible
menor de x anos,under / less than
por el presidente,by the president
casi nunca,hardly ever
respecto a,regarding
de metal,metal
al aire,outdoor
segun,according to
seco,dry
renovado,renewed/ renovated
vale la pena,
ciudad natal,hometown
solo dolar,single dollar
volviendo al tema,anyway
doloroso,painful
falso,false
por si acaso,just in case
deprimida,depressed
enchufa,outlet
lento,slowly
desconocida,unknown
ni alguien,not even someone
hasta,until /up to
ya mismo,right now
actitud,attitude
a proposito,on purpose
de nada / por nada,you're welcome
positivo,positive
bien cocido,well done
atentamente,attentively
a continuacion,up next
pariente,relative
a la perfeccion,perfectly
mojado,wet
peatonal,pedestrian
ademas de,as well as / also
mil gracias,thank you very much
precioso,lovely
orgulloso,proud
confiable,reliable
en cuanto,as far as
nada,at all
ya,na koncu = now
para que,so that
al reves,the other way around
de hecho,in fact
por ultimo,lastly
ruidosa,noisy
impresionante,impressive
brillante,bright
al aire libre,outdoor
evidente,evident / obvious
en cuanto,as soon as
ya,already
grave,serious
practica,practical
anciano,elderly /
de madera,wooden
en cuanto a eso,as far as that's concerned
sola,lonely
studioso,studious
justo,fair
comprometida,engaged
urgentemente,urgently
inutil,useless
No hay de que,not at all
fuerte,strong / loud
fatal,terrible/ poorly
judio,jewish
si o si,no matter what
sin embargo,however
ya que,because  / since the
conversadoro,talkative
en cuanto / apenas,as sson as
velocidad,speed
financiero,financial
a uno solo,just one
aun,still / yet
igual / aun,still
musulmana,muslim
en total,altogether
noroeste,northwest
amargo,bitter
callado,quiet
enseguida,immediately
exactamente,exactly
domestico,household
pelicula de suspenso,thriller
variedad,variety
por curiosidad,out of curiosity
sobre todo,especially
