Italian,English
certi,certain / sure
in + il,nel
in + lo,nello
acido,acid/sour
dolce,sweet
Como stai ?,how are you
Come va ?,how it  going
mentre,while
ma,but
se,if
o / oppure,or
e,and
but when there is vovel before e it becames,ed
perche,why / because
neither .. nor,> non ne ne
finche non,> until
finche,as son as
bensi,but rather
sia verdura che carne,both vegetables and meat
limpida,clear
piccola,little
pochino,a bit
po di,little of
acido,sour
bello,pretty
nuova,new
vecchio / vecchie,old
diversa,different
stesso,the same
alto,tall
basso,short
bravo / buon/ buoana,good
gratuito,free
libero,free
ricca,rich
straniero,foreign
economico,cheap
popolare,popular
capace,capable
aperta,open
chiusa,closed
pericoloso,dangerous
forte,strong
strana,strange
presante,heavy
pieno,(lleno)
dura,hard /tough
prossima,next
intero,whole
sicura,sure
comune,common
certo,certain
giovane,young
fredda,cold
caldo,hot
breve,brief/ short
neanche,not event
forse,maybe
ancora,still
troppo,to much
allora,then
libera,free
davvero,really
sopra,over / on
sotto,under
almeno,at least
tuttavia,however
anche,also
,
altra,other
un ltra,another
tranne,except / besides
nesunna,any
certe,certain
parecchio,many
tutto,all
qualunque,whichever
qualsiasi,any
Qualche,some / a few
ogni,every
povere,poor
grave,serious
superiore,superior / top
semplici,easy
cattivo,bad
simile,similar
vicino,close
scorsa,last
leggere,light
vicino a me,close to me / near me
particolare,peculiar
scorso,last
aperta,open
chiusa,closed
prima,before
dopo,after
cosi tanto tempo,that long
entrambe,both
qualcuno,anybody
qualcosa,something
qualcos ltro,something else
qualsiasi,any
ognuna,each /everybody
altri,others
per niente,at all
nulla,anything / nothing
nessuno,anybody / nobodt
tranne,except
alcuna,any /some
ancora,still
anche,even
allora,then
cio,that is / what is
chiunque,anybody
qualcuna,sobody / someone
altra,other one
niente,nothing
tutti,everybody
sotto,under
grave,serious
subito,right now
scorso,last
tranne,except
migliore,better
tra,among
ancora,yet /still
anche,even
a destra,right
a sinistra,left
nord,north
est,east
sud,south
ovest,west
veloce,fast
di frente di,opposite us
davanti a casa,in front of
in fronte alla tua,in fron of your (house np )
dentro,inside
cima,top
arrabiata,angry
imbarazzata,embarrassed
felice,happy
tranquilo,calm
stanca,tired
triste,sad
sopreso,surprised
mondiale,world
vicino,close
sopra,over
in fondo alla strada,at the end of the street
non nuotare,dont swim
effettivamente,actually
oltretutto,besides
neppure,not even
dapertutto,everywhere
frequentemente,frequently /often
possibilmente,prawdopodobnie
invece,instead
quindi,therefore
gravemente,seriously
eppure,and yet / niemniej jednak
magari,maybe
altrimenti,otherwise
infatatti,in fact
anzi,in fact / actually
particolarmente,especially
chissa,who knows
addiritura,really /even
lontano,far away
qualcuno,somebody
qualcosa,something
ancora,still
anche,even
entrambi,both
cativo,bad
a causa del,because of
lontano,far away
per quanto,as far as
di quanto,than
un ltra parte,elsewhere
bagnato,wet
bravo,good
avanti,ahead
avanzata,advanced
pullita,clean
via,far away / away
ancora,still
anche,even
comunque,anyway
nemmeno,not even
altrimenti,otherwise
in fondo,at the bottom
rilassante,relaxing
dietro,behind
meravigliosa,wonderful
paesaggio,landscape
sopra,over
sotto,under / in the
di legno,wooden
soleggiato,sunny
per terra,on the ground
in contanti,in cash
di solito / generalmente,usually
a volte,/qualche volte
spesso,often
cento,one hundred
a tutti i costi,at all costs
in vendita,on sale
allora,then
Come se,as if
li dentro,in there
di cuanto,than
prima di tutto,first of all
poi,then
a memoria,by heart
Fa' mente locale!,Gather your thoughts '
Gather,zebrać
impegnata,busy
