Italian,English
ascendere,to turn on
dare fare,to be busy
impariare,to learn
stare bene,to be well
tenersi,to be keept
piacere,to like
sorridere,to smile
prendere,to take/get
provare a qualcosa,to try do sth
suonare,to ring / to play
aggiungare,to add
stampare,to print
asciugare,to dry
avere fame,to be hungry
chiedere,chiderei / chiederebbe
gridare,to yell / shout
fare una passegiata,to take a walk
fermare,to stop
avere bisogno di,to need sth
viaggare,to travel
capire,to understand
salvare,to save
portare alguien,to take sb
seguire,to follow
accettare,
chiedere,to ask for
avere paura,to be afraid
dimostrare,to prove / demonstrate
spiegare,to explain
dire,dicca / diciamo /diciate / dicano
avere fatto,to made sb
pensare,to think
conoscere,to know
dare,to give
dimostrare,to show / demonstrate
spegiare,to explain
diventare,to become/turn
iniziare,to startt/begun /initiate
sapere,sapessi
andare via,to leave
potere,potrei / potrebbe
mettere de,put some
cadere,to fall / drop
ferire,to hurt / injure
andare fuori,to go out
odiare,to hate
lasciare,to leave
portare,to wear/ to bring
conoscere,to know sb
tirare,to get out / pull
rimanere,to remain
costruir,to build
ascoltare,to listen to
dare,darei / darebbe
rompersi,to break
piangere,to cry
attraversare,to cross
allenarsi,to train
volere,volessi
venire,venga / veniate / vengano
usare,to use
vivire,to live
essere triste,to be sad
lavare,to wash
riconoscere,recognize
essere pronto a,to be ready to do sth
fotografare,to photograph
essere,fossi
fare piacare,to be glad
parlare,parlerei / parlerebbe
friggere,to fry
essere d'accordo,to agree
piovere,to rain
tentare,to try
prendere,to take / get / make
tenere,terrei / terrebbe
potere,potesse
disegnare,to design
lavororare,to work
produrre,to produce
lavorare,to work
portare,to bring/wear
leggere,to read
diventare,to become
avere,avrei / avrebbe
confondere,to confused sb
venire,venissi
portare,to wear/bring
entrare nel,to enter
vedere,to see
sentire,to hear
arrivare,to arrive
vincere,to win
seguire,
aspetare,to wait for
sentirsi di,to feel like doing sth
mentire,to lie
giocare,to play
nuotare,to swimm
fare,to do
essere sorpresa,to be surprised
venire,verrei / verebbe
dare da mangiare,to feed
svegliare,to wake up
cucinare,to cook
chiedere,to ask
ire /,ere
prendere,prenderei / prenderebbe
fare caldo,to be hot
fallire,(isco) to fail
baciare,to kiss each othe
perdersi,to lose youself
cominciare,to start
insegnare,to teach
avere,to have
portare,porterei / porterebbe
andare,to go
incontrare,to meet
dimenticare,to forget
ti /mi stare,to fit
sucedre,to happen
ascoltare,to listen
dire,to say
abbasare,to lower
guidare,to drive
fare conoscere,to introduced sb
chiedersi,to wonder
insistere,to insist
chiamarsi,to be name
unire,to unite / to join
migliorare,to improve
diventando,to become
cercare,to look for
mostrare,to show
chiudere,to close
stare,to stay
pianificare,to plan
girare,to turn
indicare,pointing out
Avere paura,to be afraid
avere,abbia / abbiate/ abbiano
essere pronta,to be ready
pagare,to pay
pulire,to clean
essere pronto a,to be ready to
vivere,to live
prendere,to get/ take
andare,to  go
aspettare,to wait
cenare,to have/eat dinner
iniziare,to start
prendere,to take
consigliare,to advice
sapere,to know
pescare,to fish
avere caldo,to be hot
rimanere,to stay
saltare,to jump
riempiere,to fill
fare colazione,to have breakfast
giardare,too look at sth / watch
vedere,veda / vediate / vedano
conoscersi,to meet with sb
mangiare,to eat
fatto aspettare,made to wait
supponare,to suppose / assume
aiutare,to help
stare attento,to be carefull
ridere,to laugh
sognare,to dream
significare,to mean
sperare,to hope
giudicare,to judge / to grade
ringraziare,to thank
andare a fare,to be going to do sth
scegliere,to chose  ( scelgo)
costare,to cost
estare di,you were born in month?
spaventare,to scare
finire,to finish
tagliare,to cut
avere a che fare,to have to deal
sentendo,to hear
andare su,go up
unire,to join
perdere,to lose
colpire,to hit
bollire,to boil
ricevare,to receive
fumare,to smoke
perdere,to lost
volere,to want
svegliarsi,to wake up
baciare,to kiss
iniziare/ cominciare,to start sth
tenere,to keep / hold
potere,to can
permettere,to alow
ricordare,to remember
mancare,to be missing
essere stanca,to be tired
controllare,to check
parcheggiare,to park
chiamare,to call / to be name
ricercare,to research
guardare,to watch
dire,to say /tell
dipingere,to paint
essere,sarei / sarebbe
pregare,to ask / to pray
dare,dessi
spignere,to push
sapere,sappia / sappiamo ./.
aspettare,to wait for
riposare,to rest
ballare,to dance
di dimonstrare,to prove
lasciare,to leave sth
riparare,to fix
provare,to try
morire,to die
stare,to fit in
cantare,to sing
partire,to leave
sedersi,to sit
affittare,to rent
rubare,to steal
guadagnare,to earn
dire,dica  /dicano
aprire,to open
fare,farei / farebbe
imparare,to learn
essere seria,to be serious
prenotare,to reserve / to book
portare,to bring
avndare giu,to go down
cultivare,to cultivate / grow
sucedere,to happen
bevere,to drink
essere,to be
dare un bacio,to give a kiss
credere,to believe
mancare,to miss
telefonare,to call
essere capace di,to be capable of sth
svuotare,to empty
lasciarsi,to leave / to let
prenotare,to reserve
tenere,to keep
dare la colpa,to blame sb
sapere di,taste like
fare,to make/have
bruciare,to burn
essere,sia /siano
filmare,to film
stare,to be  / to stay
chiamare,to call
spostare,to move
suppone,to assume
trovare,to find
dormire,to sleep
prestare,to lend
vedere,vedrei / vedrebbe
ricordarsi,to remind itself
decidire,to decide
portare,to take
potere,possa / possiate / possano
dire,direi / direbbe
camminare,to walk
rimanere,to remain / stay
venire,to come
affare,to deal
cambiare,to change
andare,vada / andiate / vadano
accendere,to turn on
dispiaciarsi,to be sorry
durare,to last
vivire da sola,to live alone
fermarsi,to stop
volare,to fly
avere,have / avessi/sse
giochare,to play
annaffiare,to water
nevicare,to snow
decidire di,decide to do sth
arrostire,to roast
esploriare,to explore
suonare,to play / suoni
andare a trovare,to visit
recevere,to receive
andare,andrei / andrebbe
preocuparsi,to be worried
parlare,to speak
prendere,to get
comprare,to buy
indicare,to indicate
chiedere,chiedesse
lasciare,to leave / to let
aspettarsi,to expect
dissativare,to turn off
lasciare perdere,to forget it
noleggiare,to rent
fare una doccia,to take a shower
unire,to unite
chiudare,to close
sembrare,to look like/ seems
esprimere,to express ourself
scoprire,to discover
avere ragione,to be right
mettere,to put
sederesi,to sit
dipingere,painting
brucare,to burn out
cerchiare,look for
abbassare,to decrease/ to downo
scrivere,to write
entrere,to enter
fare affari,to deal
ritornare,to return
guardare,to look = patrzeć się
scegliere,to choose
sentire,to hear/feel
respettare,to respect sb
tenere,tenga / teniamo / tengano
Avere,to have
avere sonno,to be sleepy
tenere,to hold/keep
passare,to pass
tirare,to throw
indossare,to wear
