Italian,English
dio,/dios
complesso,band / complex
nero,black
tra,between  / among / in
Spiacente,sorry
mosca,the fly
gioielleria,jewelry store
spazio,space
squadra,team
pepe,papper
risorsa,resource
beef,wołowina
sorriso,smile
dieci in punto,ten on the dot
aspettarsi,to expect
pepe,paper
ponte,bridge
posto,place
cartolina,postcard
tacchino,turkey
dittatura,dictatorship
il viaggio,the trip
soldi,money
amore,love
esercizio,excercise
tigre,the tiger
moneta,coin
sapone,soap
il personale,staff
coraggio,courage /brave
primavera,spring
lenzuola,sheet
,
biglietto,ticket
durante,during
departimento vendite,sales department
la limonata,lemonade
gioia,joy
ingrediente,ingredient
alunno,student / schoolkid
rosso,red
stampa,newspaper
una volta,once / una vez
camera,room
formaggio,the cheese
proceso,trial
lontano,far away
bosco,forest
ricchezza,wealth
la patente,driver  licence
organizzazione,organization
elefante,the elephant
tavolo,table
marzo,march
indipendentza,independence
letto,bed
concetto,concept
estero,abroad
uccello,the bird
ricerca,search
il cappello,the hat
aprile,april
gli occhiali,glasses
scienza,science
intervista,interview
te,tea
Per favore,please
nonostante,despite
imaggini,pictures
cascata,waterfall
architettura,architecture
la calza,the sock
argento,silver
finanziamenti,funds
progetto,project / plan
calcio,the soccer
ventilatore,fan
calcio,soccer
a caso,randomly
coraggio,courage
diregenza,management
di chi,whose
spiagga,beach
aula,classroom
lato,side
perdere la testa,to lose sb mind
esistenza,existence
palestra,gym
presenza,presence
al cancello,at gate
burro,the butter
pensiero,mind / thought
timore,fear
marmellata,jam
la tazza,the cup
spazzolino,brush
venerdi,friday
rete,net
burro,butter
cielo,heaven / sky
olio,oil
albero,tree
Buonasera,good evening
bianco,white
collegamenti,connections
domenica,sunday
sviluppo,development
sandalo,sandal
Sposa,bride
gonna,skirt
sedia  / seggiola,chair
La porta,the door
educazone,manners
premio,prize
pietra,stone
caffe,the coffee
tasche,pockets
calza,the sock
quasi,almost
tamburo,drum
verso,to / verso di
l lbergo,the hotel
inghilterra,England
spiegazione,explanation
sensazione,feeling
carne di maiale,pork
per caso,by chance
giornalista,journalist
il pianeta,planet
vento,wind
tasca,pocket
parola,word
fila,line / queue
capello,hat
finestra,window
la gonna,the skirt
il clima,climate
stadio,stadium
Arrivederci,goodbye
valore,value
giardino,garden
maglione,sweater xD
autunno,autumn
invito,invitation
dentrifricio,toothpaste
l ngelo,the angel
mucca,the cow
diciembre,december
abitudine,habit
camicia,shirt
incontro,meeting
luna,moon
camere,rooms
l'erba',the grass
ottobre,october
ape,the bee
la colazione,the breakfast
rischio,risk
il bicchiere,the glass
l ngolo,corner
cinese,chinese
lacrime,tears
sicurezza,security
temporale,storm
egualianza,equality
gelato,the ice cream
abbigliamento,clothing
prigione,prison
ragno,the spider /
ricetta,recipe
stazione,station
descrizione,description
bistecca,steak
fuoco,fire
stella,star
banca,bank
passegero,passenger
anche,even
Lo squalo,the shark
scala,ladder
il piatto,the e
Buongiorno,goodmorning
scarpe,shoes
lo specchio,mirror
foglio,piece of paper
stanotte,tonight
risata,laugh
febbraio,february
santa,saint
gusto,taste/ flavor
foglio,sheet of paper
regola,rule
roccia,rock
caduta,fall
definizione,definition
colorato,
forno,oven
lettore,reader
pasticceria,bakery
il panino,sandwich
testa,head /mind
topo,the fly
guaio / guai,trouble/s
scarpa,shoe
manzo,the beef
chitarra,guitar
meccanismo,mechanism
collega,colleague
gatto,the cat
virtu,virtue
paese,town / village
testo,text
la plastica,plastic
scatola,box
borsa,bag
collina,hill
errore,mistake
la nave,the ship
ruolo / ruoli,role / roles
tortaruga,the turtle
Fino a,until / as far as
rosa,pink
inverno,winter
frigorifero,refrigerator
la cena,the dinner
soddisfaziono,satisfaction
speranza,hope
giallo,yellow
la distanza,the distance
bolletta,bill
schermo,screen
rumore,noise
terreno,ground
maggio,may
insegnante,teacher
fragola,strawberry
limone,lemon
lingua,the language
coscienza,conscience/ consciousness
marrono,brown
laurea,degree
la valigia,the suitcase
neve,snow
settembre,septembre
giudice,judge
fagiolo,the bean
oggetto,object
livello,level
domani,tomorrow
dopo,after
compito,homework /task
esibizione / mostra,exhibition
elezioni,elections
cioccolato,chocolate
lungo,along
allenatore,couch
fattoria,farm
uscita,exit
fabbrica / fabbriche,factory/ries
cintura,belt
esame,exam/ test
soggetto,subject
sogno,dream
indirizzo,address
stanza,room
carota,the carrot
francobollo,stamp
cuoio,leather
ombrello,umbrella
lo zoo,the zoo
stivale,boot
abito,suit
Terra,earth
depression,depression
il muro,wall
posta,mail
frutta,the fruit
macchina fotograficac,camera
scimmia,the monkey
balena,the whale
memoria,memory
piazza,the square
voto,grade
inizio,start
spirito,spirit
il conto,the check
scrivania,desk
la fine,the end
chimica,chemistry
imprenditore,businessman / entrepreneur
strada,street
quartiere,neighborhood
aranciono,orange
la prova,the evidence
tarta,the cake
noticia/zie,news
modo,way
each,ogni
